Date-time;Type;Metadato grafico storico;POZ007 - Mazzini - Misura pressione rete (bar);POZ007 - Mazzini - Misura portata rete modbus (l/s);POZ007 - Mazzini - Misura livello falda (m)
2025/03/01 16:02:00;A;;;;26,94
2025/03/01 16:03:00;A;;;;26,20
2025/03/01 16:04:00;A;;;;27,07
2025/03/01 16:05:00;A;;;;26,86
2025/03/01 16:06:00;A;;;;27,10
2025/03/01 16:08:00;A;;;;26,67
2025/03/01 16:09:00;A;;;;27,04
2025/03/01 16:10:00;A;;;;23,07
2025/03/01 16:11:00;A;;;;28,43
2025/03/01 16:12:00;A;;;;26,78
2025/03/01 16:14:00;A;;;;25,89
2025/03/01 16:15:00;A;;6,9;69,6;26,86
2025/03/01 16:15:01;P;;;;26,86
2025/03/01 16:16:00;A;;;;26,10
2025/03/01 16:17:00;A;;;;27,14
2025/03/01 16:20:00;A;;;;26,85
2025/03/01 16:21:00;A;;;;28,25
2025/03/01 16:22:00;A;;;;24,87
2025/03/01 16:23:00;A;;;;26,45
2025/03/01 16:24:00;A;;;;26,67
2025/03/01 16:25:00;A;;;;27,12
2025/03/01 16:27:00;A;;;;25,25
2025/03/01 16:28:00;A;;;;27,25
2025/03/01 16:29:00;A;;;;26,65
2025/03/01 16:30:00;A;;6,9;69,3;26,86
2025/03/01 16:30:01;P;;;;26,86
2025/03/01 16:31:00;A;;;;26,63
2025/03/01 16:32:00;A;;;;28,31
2025/03/01 16:33:00;A;;;;26,96
2025/03/01 16:34:00;A;;;;27,21
2025/03/01 16:35:00;A;;;;26,98
2025/03/01 16:37:00;A;;;;26,55
2025/03/01 16:38:00;A;;;;26,80
2025/03/01 16:39:00;A;;;;25,95
2025/03/01 16:40:00;A;;;;27,09
2025/03/01 16:41:00;A;;;;26,63
2025/03/01 16:42:00;A;;;;26,85
2025/03/01 16:45:00;A;;7,0;69,8;25,34
2025/03/01 16:45:01;P;;;;25,34
2025/03/01 16:46:00;A;;;;27,21
2025/03/01 16:48:00;A;;;;26,78
2025/03/01 16:49:00;A;;;;27,06
2025/03/01 16:50:00;A;;;;26,34
2025/03/01 16:51:00;A;;;;27,14
2025/03/01 16:52:00;A;;;;27,43
2025/03/01 16:53:00;A;;;;27,06
2025/03/01 16:54:00;A;;;;26,24
2025/03/01 16:56:00;A;;;;27,31
2025/03/01 16:57:00;A;;;;26,94
2025/03/01 16:58:00;A;;;;27,50
2025/03/01 16:59:00;A;;;;27,12
2025/03/01 17:00:00;A;;6,8;68,8;26,22
2025/03/01 17:00:01;P;;;;26,22
2025/03/01 17:01:00;A;;;;27,20
2025/03/01 17:02:00;A;;;;26,98
2025/03/01 17:03:00;A;;;;27,27
2025/03/01 17:04:00;A;;;;26,72
2025/03/01 17:05:00;A;;;;27,28
2025/03/01 17:06:00;A;;;;26,52
2025/03/01 17:08:00;A;;;;26,99
2025/03/01 17:09:00;A;;;;26,64
2025/03/01 17:10:00;A;;;;26,93
2025/03/01 17:11:00;A;;;;26,47
2025/03/01 17:12:00;A;;;;26,71
2025/03/01 17:14:00;A;;;;26,96
2025/03/01 17:15:00;P;;6,8;69,0;26,87
2025/03/01 17:16:00;A;;;;27,09
2025/03/01 17:17:00;A;;;;27,64
2025/03/01 17:18:00;A;;;;27,21
2025/03/01 17:19:00;A;;;;27,64
2025/03/01 17:20:00;A;;;;27,25
2025/03/01 17:21:00;A;;;;26,86
2025/03/01 17:22:00;A;;;;29,18
2025/03/01 17:23:00;A;;;;27,21
2025/03/01 17:26:00;A;;;;26,96
2025/03/01 17:30:00;A;;6,9;69,6;26,73
2025/03/01 17:30:01;P;;;;26,73
2025/03/01 17:31:00;A;;;;27,18
2025/03/01 17:32:00;A;;;;26,74
2025/03/01 17:33:00;A;;;;27,13
2025/03/01 17:35:00;A;;;;27,34
2025/03/01 17:36:00;A;;;;26,53
2025/03/01 17:37:00;A;;;;26,85
2025/03/01 17:38:00;A;;;;26,64
2025/03/01 17:39:00;A;;;;27,09
2025/03/01 17:40:00;A;;;;27,31
2025/03/01 17:41:00;A;;;;27,08
2025/03/01 17:44:00;A;;;;26,07
2025/03/01 17:45:00;A;;6,9;69,8;29,16
2025/03/01 17:45:01;P;;;;29,16
