Date-time;Type;Metadato grafico storico;POZ005 - Battisti - Misura pressione rete (bar);POZ005 - Battisti - Misura portata rete modbus (l/s);POZ005 - Battisti - Misura livello falda (m)
2025/03/02 17:57:00;A;;;;11,58
2025/03/02 17:59:00;A;;;;11,79
2025/03/02 18:00:00;A;;8,7;63,9;11,56
2025/03/02 18:00:01;P;;;63,9;11,56
2025/03/02 18:07:00;A;;;;13,07
2025/03/02 18:08:00;A;;;;11,52
2025/03/02 18:15:00;P;;8,6;65,4;11,67
2025/03/02 18:30:00;P;;8,7;67,9;11,65
2025/03/02 18:36:00;A;;;;10,13
2025/03/02 18:37:00;A;;;;11,62
2025/03/02 18:43:00;A;;;;10,18
2025/03/02 18:44:00;A;;;;11,75
2025/03/02 18:45:00;P;;8,6;69,1;11,65
2025/03/02 19:00:00;P;;8,6;69,6;11,58
2025/03/02 19:06:00;A;;;;11,18
2025/03/02 19:07:00;A;;;;11,76
2025/03/02 19:14:00;A;;;;11,99
2025/03/02 19:15:00;A;;8,7;68,2;11,55
2025/03/02 19:15:01;P;;;;11,55
2025/03/02 19:17:00;A;;;;9,90
2025/03/02 19:18:00;A;;;;11,60
2025/03/02 19:21:00;A;;;;11,32
2025/03/02 19:22:00;A;;;;11,65
2025/03/02 19:30:00;P;;8,7;70,6;11,76
2025/03/02 19:31:00;A;;;;11,23
2025/03/02 19:32:00;A;;;;11,63
2025/03/02 19:45:00;A;;8,7;67,3;11,65
2025/03/02 19:45:01;P;;;67,3;
2025/03/02 19:51:00;A;;;;12,03
2025/03/02 19:52:00;A;;;;11,63
2025/03/02 19:53:00;A;;;;11,42
2025/03/02 19:54:00;A;;;;11,67
2025/03/02 20:00:00;P;;8,7;66,9;11,84
2025/03/02 20:02:00;A;;;;11,51
2025/03/02 20:08:00;A;;;;11,73
2025/03/02 20:11:00;A;;;;11,50
2025/03/02 20:14:00;A;;;;11,71
2025/03/02 20:15:00;P;;8,7;67,6;11,63
2025/03/02 20:22:00;A;;8,5;;
2025/03/02 20:25:00;A;;8,7;;
2025/03/02 20:27:00;A;;8,4;;
2025/03/02 20:28:00;A;;8,7;;
2025/03/02 20:30:00;P;;8,6;68,5;11,67
2025/03/02 20:36:00;A;;;;11,31
2025/03/02 20:37:00;A;;;;11,52
2025/03/02 20:45:00;A;;8,7;63,3;11,44
2025/03/02 20:45:01;P;;;63,3;
2025/03/02 20:47:00;A;;;;11,85
2025/03/02 20:48:00;A;;;;11,58
2025/03/02 20:50:00;A;;;59,2;
2025/03/02 20:54:00;A;;;;11,31
2025/03/02 20:55:00;A;;;55,9;11,62
2025/03/02 20:57:00;A;;;;11,36
2025/03/02 21:00:00;P;;8,6;53,7;11,41
2025/03/02 21:01:00;A;;7,9;;10,79
2025/03/02 21:05:00;A;;;0,0;
2025/03/02 21:15:00;P;;8,0;0,0;10,77
2025/03/02 21:30:00;P;;7,9;0,0;10,77
2025/03/02 21:45:00;A;;8,2;0,0;10,77
2025/03/02 21:45:01;P;;8,2;;
2025/03/02 22:00:00;P;;8,1;0,0;10,77
2025/03/02 22:11:00;A;;8,3;;
2025/03/02 22:15:00;P;;8,1;0,0;10,77
2025/03/02 22:30:00;P;;8,3;0,0;10,77
2025/03/02 22:45:00;P;;8,2;0,0;10,77
2025/03/02 23:00:00;P;;8,4;0,0;10,76
2025/03/02 23:15:00;P;;8,4;0,0;10,76
2025/03/02 23:30:00;P;;8,4;0,0;10,76
2025/03/02 23:45:00;P;;8,5;0,0;10,77
