Date-time;Type;Metadato grafico storico;RIL003 - San Giorgio - Misura pressione rete (bar);RIL003 - San Giorgio - Misura pressione rilancio (bar);RIL003 - San Giorgio - Misura pressione Miramonti (bar);RIL003 - San Giorgio - Misura portata Miramonti (impulsiva) (mc);RIL003 - San Giorgio - Misura portata rete (impulsiva) (mc)
2025/03/02 13:45:01;P;;;;5,5;;
2025/03/02 13:50:00;A;;;;5,7;;
2025/03/02 13:55:00;A;;;;5,5;;
2025/03/02 14:00:00;P;;3,6;48,1;5,4;0,00;0,0
2025/03/02 14:05:00;A;;;;5,9;;
2025/03/02 14:15:00;P;;3,5;48,1;6,0;0,00;0,0
2025/03/02 14:30:00;A;;3,2;48,1;5,7;0,00;0,0
2025/03/02 14:30:01;P;;3,2;;5,7;;
2025/03/02 14:35:00;A;;3,6;;;;
2025/03/02 14:45:00;P;;3,6;48,0;5,7;0,00;0,0
2025/03/02 15:00:00;A;;3,7;48,1;6,1;0,00;0,0
2025/03/02 15:00:01;P;;;;6,1;;
2025/03/02 15:15:00;A;;3,6;48,0;5,8;0,00;0,0
